2026-01-19T18:08:27-03:00 srv1 samba[880]: [2026/01/19 18:08:27.172392,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:27-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:27-03:00 srv1 samba[880]: [2026/01/19 18:08:27.356937,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:27-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:27-03:00 srv1 samba[880]: [2026/01/19 18:08:27.532345,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:27-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[533cf283-fd83-429d-91f0-d87a18a19af8] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:27-03:00 srv1 samba[880]: [2026/01/19 18:08:27.654791,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:27-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:27-03:00 srv1 samba[880]: [2026/01/19 18:08:27.804820,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:27-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:27-03:00 srv1 samba[880]: [2026/01/19 18:08:27.932242,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:27-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:28-03:00 srv1 samba[880]: [2026/01/19 18:08:28.049816,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
